Official names for Earthbound control codes

[00]    linebreak                            -> ↓
[1F 40] nop3                                 -> (Unused, so we don't have the official name)
[1F 41 01] show_coffee                       -> @FUNC(1)
[1F 41 02] show_tea                          -> @FUNC(2)
[1F 41 03] register_player_name              -> @FUNC(3)
[1F 41 04] register_player_name_kana         -> @FUNC(4)
[1F 41 05] set_oss_flag                      -> @FUNC(5)
[1F 41 06] reset_oss_flag                    -> @FUNC(6)
[1F 41 07] try_show_map                      -> @FUNC(7)
[1F 41 08] is_attacker_enemy                 -> @FUNC(8)
[1F 41 09] sound_stone                       -> @FUNC(9)
[1F 41 0A] show_title_screen                 -> @FUNC(10)
[1F 41 0B] show_cast                         -> @FUNC(11)
[1F 41 0C] show_credits                      -> @FUNC(12)
[1F 41 0D] start_rolling_meter               -> @FUNC(13)
[1F 41 0E] stop_rolling_meter                -> @FUNC(14)
[1F 41 0F] unset_all_flags                   -> @FUNC(15)
[1F 41 10] sound_stone_full                  -> @FUNC(16)
[1F 41 11] attempt_homesickness              -> @FUNC(17)
[1F 41 12] kick_out_of_bicycle               -> @FUNC(18)
[1F 41] event(eventnum)                      -> @FUNC(eventnum)
[1F 50] disable_input                        -> @DISKEY()
[1F 51] enable_input                         -> (Unused, so we don't have the official name)
[1F 52] number_input(digits)                 -> @INPUT(digits)
[1F 60] wait_input_timeout(frames)           -> @WKEY(frames)
[1F 61] wait_movement                        -> @WAITSYS()
[1F 62] set_prompt(arg)                      -> @SET_BTL_MSG(arg)
[1F 63] on_map_refresh(text)                 -> (Couldn't find this. There seems to be a whole message file missing for the door scripts, $C9992F to $C9B225)
[1F 64] backup_party                         -> @SAVE_STORY()
[1F 65] restore_party                        -> @LOAD_STORY()
[1F 66] enable_hotspot(slot, hotspot, text)  -> @SET_HIT_RECT(slot, hotspot, text)
[1F 67] disable_hotspot(slot)                -> @RES_HIT_RECT(slot)
[1F 68] set_exit_mouse                       -> (Couldn't find this. See [1F 63])
[1F 69] warp_exit_mouse                      -> @WARP_MOUSE_POS()
[1F 71] learn_psi(pc, psi)                   -> @ADD_PSI(pc, psi)
[1F 81] usable                               -> (Unused, so we don't have the official name)
[1F 83] equip_slot(pc, slot)                 -> @EQUIP_PLAYER_GOODS(pc, slot)
[1F 90] select_phone                         -> (Unused, so we don't have the official name)
[1F A0] open_present                         -> @SETF_MSG()
[1F A1] close_present                        -> @RESF_MSG()
[1F A2] is_present_open                      -> @CHKF_MSG()
[1F B0] save_game                            -> @SAVE_GAME()
[1F C0] switch_call(addr ...)                -> @ONGOSUB(addr ...)
[1F D0] attempt_fix_item(chance)             -> @REPAIR(chance)
[1F D1] get_truffle_dir                      -> @SEARCH_TRUFFLE()
[1F D2] show_photographer(photonum)          -> @TAKE_PHOTO(photonum)
[1F D3] timed_event(eventnum)                -> @DELIVERY(eventnum)
[1F E1] set_map_pal(tileset, palette, speed) -> @SET_PALLETSET(tileset, palette, speed)
[1F E4] set_sprite_direction(spr, direction) -> @SET_GOM_CHAR_DIR(spr, direction)
[1F E5] freeze_char(pc)                      -> @COLD_PLAYER(pc)
[1F E6] freeze_npc(npc)                      -> @COLD_CHAR(npc)
[1F E7] freeze_sprite(spr)                   -> @COLD_GOM_CHAR(spr)
[1F E8] unfreeze_char(pc)                    -> @FRESH_PLAYER(pc)
